time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2020-04-20,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-04-21,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-04-22,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-04-23,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-04-24,0.8,0.8,0.8,0.8,100,80.0,,,,,
2020-04-27,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-04-28,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-04-29,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-04,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-05,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-06,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-07,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-08,0.8,0.9,0.8,0.9,700,630.0,,,,,
2020-05-11,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-12,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-13,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-14,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-05-15,0.8,0.8,0.7,0.8,10400,8320.0,,,,,
2020-05-18,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-19,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-20,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-21,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-22,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-25,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-26,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-27,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-28,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-05-29,0.6,0.8,0.6,0.8,8200,6560.0,,,,,
2020-06-01,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-02,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-03,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-04,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-05,0.7,0.8,0.6,0.8,6314,5051.200000000001,,,,,
2020-06-08,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-06-09,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-06-10,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-06-11,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-06-12,0.7,0.8,0.7,0.8,8400,6720.0,,,,,
2020-06-15,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-16,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-17,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-18,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-06-19,0.6,0.7,0.6,0.7,12567,8796.9,,,,,
2020-06-22,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-06-23,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-06-24,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-06-25,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-06-26,0.7,0.7,0.6,0.7,27600,19320.0,,,,,
2020-06-29,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-06-30,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-01,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-02,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-03,0.6,0.6,0.6,0.6,17000,10200.0,,,,,
2020-07-06,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-07,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-08,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-09,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-10,0.7,0.7,0.6,0.7,11200,7839.999999999999,,,,,
2020-07-13,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-14,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-15,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-17,0.6,0.6,0.6,0.6,3325,1995.0,,,,,
2020-07-20,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-21,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-22,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-23,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-07-24,0.7,0.7,0.7,0.7,2300,1610.0,,,,,
2020-07-27,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-07-28,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-07-29,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-07-30,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-07-31,0.8,0.8,0.7,0.8,5525,4420.0,,,,,
2020-08-03,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-04,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-05,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-06,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-07,0.7,0.8,0.7,0.8,1100,880.0,,,,,
2020-08-10,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-11,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-12,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-13,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-14,0.8,0.8,0.7,0.8,1102,881.6,,,,,
2020-08-17,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-18,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-19,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-20,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-08-21,0.7,0.8,0.7,0.8,11310,9048.0,,,,,
2020-08-24,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-25,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-26,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-27,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-08-28,0.9,0.9,0.8,0.9,4809,4328.1,,,,,
2020-08-31,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-09-01,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-09-03,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-09-04,0.8,0.8,0.7,0.7,4400,3080.0,,,,,
2020-09-07,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-08,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-09,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-10,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-11,0.8,0.8,0.6,0.6,192220,115332.0,,,,,
2020-09-14,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-09-15,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-09-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-09-17,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-09-18,0.7,0.7,0.7,0.7,6418,4492.599999999999,,,,,
2020-09-21,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-22,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-23,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-24,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-09-25,0.8,0.8,0.8,0.8,22200,17760.0,,,,,
2020-09-28,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-09-29,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-09-30,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-01,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-02,0.9,0.9,0.9,0.9,35000,31500.0,,,,,
2020-10-05,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-07,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-08,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-09,0.8,1.0,0.8,0.8,10900,8720.0,,,,,
2020-10-12,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-13,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-14,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-15,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-16,0.9,0.9,0.9,0.9,27956,25160.4,,,,,
2020-10-19,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-20,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-21,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-22,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-23,0.8,0.8,0.8,0.8,4074,3259.2000000000003,,,,,
2020-10-26,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-27,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-28,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-29,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-10-30,0.8,0.8,0.8,0.8,800,640.0,,,,,
2020-11-02,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-03,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-04,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-05,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-06,0.8,0.8,0.8,0.8,128,102.4,,,,,
2020-11-09,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-10,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-11,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-12,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-11-13,0.7,0.7,0.7,0.7,8033,5623.099999999999,,,,,
2020-11-16,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-17,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-18,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-19,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-20,0.7,0.8,0.7,0.8,1223,978.4,,,,,
2020-11-23,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-24,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-25,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-26,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-11-27,0.7,0.7,0.6,0.6,2866,1719.6,,,,,
2020-11-30,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-12-01,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-12-02,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-12-03,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-12-04,0.6,0.7,0.6,0.6,37533,22519.8,,,,,
2020-12-07,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-08,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-09,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-10,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-11,0.7,0.8,0.7,0.8,11300,9040.0,,,,,
2020-12-14,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-15,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-16,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-17,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-18,0.9,0.9,0.9,0.9,3700,3330.0,,,,,
2020-12-21,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-22,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-23,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-24,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-25,0.9,0.9,0.9,0.9,63,56.7,,,,,
2020-12-28,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-29,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-30,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-31,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-01-04,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-01-05,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-01-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-01-07,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-01-08,0.9,1.0,0.9,0.9,16400,14760.0,,,,,
2021-01-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-12,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-13,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-14,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-15,1.1,1.1,0.9,1.1,21950,24145.000000000004,,,,,
2021-01-18,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-19,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-20,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-21,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-01-22,1.0,1.1,1.0,1.1,20700,22770.000000000004,,,,,
2021-01-25,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-01-26,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-01-27,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-01-28,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-01-29,1.0,1.2,1.0,1.2,400,480.0,,,,,
2021-02-01,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-02,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-03,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-04,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-05,1.1,1.1,1.0,1.1,1600,1760.0000000000002,,,,,
2021-02-08,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-09,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-17,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-18,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-19,1.0,1.1,1.0,1.1,500,550.0,,,,,
2021-02-22,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-23,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-24,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-25,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-02-26,1.0,1.2,1.0,1.2,222800,267360.0,,,,,
2021-03-01,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-02,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-03,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-04,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-05,1.0,1.0,1.0,1.0,51632,51632.0,,,,,
2021-03-08,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-09,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-12,0.9,1.0,0.9,1.0,72200,72200.0,,,,,
2021-03-15,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-03-16,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-03-17,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-03-18,0.9,0.9,0.9,0.9,0,0.0,,,,,
2021-03-19,1.0,1.0,1.0,1.0,37200,37200.0,,,,,
2021-03-22,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-23,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-24,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-25,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-03-26,1.1,1.1,1.1,1.1,41200,45320.00000000001,,,,,
2021-03-29,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-03-30,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-03-31,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-04-01,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-04-02,1.1,1.1,1.0,1.1,3100,3410.0000000000005,,,,,
2021-04-05,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-04-06,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-04-07,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-04-08,1.0,1.0,1.0,1.0,0,0.0,,,,,
2021-04-09,1.0,1.1,0.9,1.1,107200,117920.0,,,,,
2021-04-12,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-04-13,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-04-14,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-04-15,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-04-16,1.2,1.2,1.2,1.2,53352,64022.4,,,,,
2021-04-19,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-04-20,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-04-22,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-04-23,1.2,1.3,1.2,1.3,209318,272113.4,,,,,
2021-04-26,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-04-27,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-04-28,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-04-29,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-05-04,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-05-05,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-05-06,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-05-07,1.4,1.4,1.3,1.4,110494,154691.59999999998,,,,,
2021-05-10,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-05-11,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-05-12,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-05-13,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-05-14,1.4,1.6,1.4,1.6,53807,86091.20000000001,,,,,
2021-05-17,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-05-18,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-05-19,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-05-20,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-05-21,1.8,1.8,1.6,1.8,73340,132012.0,,,,,
2021-05-24,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-05-25,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-05-26,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-05-27,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-05-28,1.9,2.0,1.8,1.8,37650,67770.0,,,,,
2021-05-31,1.9,1.9,1.9,1.9,0,0.0,,,,,
2021-06-01,1.9,1.9,1.9,1.9,0,0.0,,,,,
2021-06-02,1.9,1.9,1.9,1.9,0,0.0,,,,,
2021-06-03,1.9,1.9,1.9,1.9,0,0.0,,,,,
2021-06-04,1.9,2.0,1.7,1.7,102900,174930.0,,,,,
2021-06-07,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-06-08,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-06-09,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-06-10,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-06-11,1.5,1.5,1.5,1.5,7100,10650.0,,,,,
2021-06-14,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-06-15,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-06-16,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-06-17,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-06-18,1.3,1.3,1.3,1.3,19700,25610.0,,,,,
2021-06-21,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-06-22,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-06-23,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-06-24,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-06-25,1.3,1.3,1.2,1.2,74702,89642.4,,,,,
2021-06-28,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-06-29,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-06-30,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-07-01,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-07-02,1.1,1.2,1.1,1.2,52800,63360.0,,,,,
2021-07-05,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-06,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-07,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-08,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-09,1.1,1.1,1.1,1.1,62600,68860.0,,,,,
2021-07-12,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-13,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-14,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-15,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-16,1.1,1.2,1.1,1.2,24800,29760.0,,,,,
2021-07-19,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-20,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-21,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-22,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-23,1.2,1.2,1.0,1.2,14690,17628.0,,,,,
2021-07-26,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-27,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-28,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-29,1.1,1.1,1.1,1.1,0,0.0,,,,,
2021-07-30,1.2,1.2,1.2,1.2,30802,36962.4,,,,,
2021-08-02,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-08-03,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-08-04,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-08-05,1.2,1.2,1.2,1.2,0,0.0,,,,,
2021-08-06,1.3,1.3,1.3,1.3,37386,48601.8,,,,,
2021-08-09,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-08-10,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-08-11,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-08-12,1.3,1.3,1.3,1.3,0,0.0,,,,,
2021-08-13,1.4,1.4,1.4,1.4,23017,32223.8,,,,,
2021-08-16,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-08-17,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-08-18,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-08-19,1.4,1.4,1.4,1.4,0,0.0,,,,,
2021-08-20,1.6,1.6,1.4,1.5,112200,168300.0,,,,,
2021-08-23,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-08-24,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-08-25,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-08-26,1.5,1.5,1.5,1.5,0,0.0,,,,,
2021-08-27,1.5,1.6,1.5,1.6,96362,154179.2,,,,,
2021-08-30,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-08-31,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-09-01,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-09-06,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-09-07,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-09-08,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-09-09,1.6,1.6,1.6,1.6,0,0.0,,,,,
2021-09-10,1.5,1.8,1.5,1.8,333463,600233.4,,,,,
2021-09-13,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-09-14,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-09-15,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-09-16,1.7,1.7,1.7,1.7,0,0.0,,,,,
2021-09-17,1.9,1.9,1.7,1.9,163080,309852.0,,,,,
2021-09-20,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-09-21,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-09-22,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-09-23,1.8,1.8,1.8,1.8,0,0.0,,,,,
2021-09-24,2.0,2.0,1.8,1.9,157971,300144.9,,,,,
2021-09-27,2.0,2.0,2.0,2.0,0,0.0,,,,,
2021-09-28,2.0,2.0,2.0,2.0,0,0.0,,,,,
2021-09-29,2.0,2.0,2.0,2.0,0,0.0,,,,,
2021-09-30,2.0,2.0,2.0,2.0,0,0.0,,,,,
2021-10-01,2.3,2.3,2.0,2.2,99100,218020.00000000003,,,,,
2021-10-04,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-05,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-06,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-07,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-08,2.3,2.3,2.0,2.1,123000,258300.0,,,,,
2021-10-11,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-12,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-13,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-14,2.1,2.1,2.1,2.1,0,0.0,,,,,
2021-10-15,2.1,2.4,2.0,2.4,256100,614640.0,,,,,
2021-10-18,2.2,2.2,2.2,2.2,0,0.0,,,,,
2021-10-19,2.2,2.2,2.2,2.2,0,0.0,,,,,
2021-10-20,2.2,2.2,2.2,2.2,0,0.0,,,,,
2021-10-21,2.2,2.2,2.2,2.2,0,0.0,,,,,
2021-10-22,2.4,2.5,2.4,2.5,144284,360710.0,,,,,
2021-10-25,2.5,2.5,2.5,2.5,0,0.0,,,,,
2021-10-26,2.5,2.5,2.5,2.5,0,0.0,,,,,
2021-10-27,2.5,2.5,2.5,2.5,0,0.0,,,,,
2021-10-28,2.5,2.5,2.5,2.5,0,0.0,,,,,
2021-10-29,2.8,2.8,2.8,2.8,69033,193292.4,,,,,
2021-11-01,2.8,2.8,2.8,2.8,0,0.0,,,,,
2021-11-02,2.8,2.8,2.8,2.8,0,0.0,,,,,
2021-11-03,2.8,2.8,2.8,2.8,0,0.0,,,,,
2021-11-04,2.8,2.8,2.8,2.8,0,0.0,,,,,
2021-11-05,3.2,3.2,2.9,3.2,462940,1481408.0,,,,,
2021-11-08,3.2,3.2,3.2,3.2,0,0.0,,,,,
2021-11-09,3.2,3.2,3.2,3.2,0,0.0,,,,,
2021-11-10,3.2,3.2,3.2,3.2,0,0.0,,,,,
2021-11-11,3.2,3.2,3.2,3.2,0,0.0,,,,,
2021-11-12,3.5,3.6,3.5,3.6,325960,1173456.0,,,,,
2021-11-15,3.6,3.6,3.6,3.6,0,0.0,,,,,
2021-11-16,3.6,3.6,3.6,3.6,0,0.0,,,,,
2021-11-17,3.6,3.6,3.6,3.6,0,0.0,,,,,
2021-11-18,3.6,3.6,3.6,3.6,0,0.0,,,,,
2021-11-19,4.1,4.1,3.4,3.8,657481,2498427.8,,,,,
2021-11-22,4.0,4.0,4.0,4.0,0,0.0,,,,,
2021-11-23,4.0,4.0,4.0,4.0,0,0.0,,,,,
2021-11-24,4.0,4.0,4.0,4.0,0,0.0,,,,,
